DATA_VALUE,TIME_COUNT,ID_LOGS,NOTE
-1,0,-1,Error on SQL Server connection
1.24,155,-1,Fallback mode
1.25,664,-1,Fallback mode
1.25,1192,-1,Fallback mode
1.24,1740,-1,Fallback mode
1.24,2248,-1,Fallback mode
1.24,2776,-1,Fallback mode
1.24,3304,-1,Fallback mode
1.24,3832,-1,Fallback mode
1.24,4360,-1,Fallback mode
1.24,4888,-1,Fallback mode
1.24,5416,-1,Fallback mode
1.24,5944,-1,Fallback mode
1.24,6472,-1,Fallback mode
1.24,7000,-1,Fallback mode
1.24,7528,-1,Fallback mode
1.24,8056,-1,Fallback mode
1.24,8584,-1,Fallback mode
1.24,9112,-1,Fallback mode
1.24,9641,-1,Fallback mode
