DATA_VALUE,TIME_COUNT,ID_LOGS,NOTE
-1,0,-1,Error on SQL Server connection
-1,0,-1,Error on SQL Server connection
2.92,221,-1,Fallback mode
2.92,531,-1,Fallback mode
2.92,844,-1,Fallback mode
2.92,1151,-1,Fallback mode
2.92,1463,-1,Fallback mode
2.92,1780,-1,Fallback mode
2.92,2093,-1,Fallback mode
2.92,2398,-1,Fallback mode
2.92,2703,-1,Fallback mode
2.92,3016,-1,Fallback mode
-1,0,-1,Malformed or unreadable data
2.92,3359,-1,Fallback mode
2.92,3665,-1,Fallback mode
2.92,3975,-1,Fallback mode
2.92,4296,-1,Fallback mode
2.92,4608,-1,Fallback mode
2.92,4926,-1,Fallback mode
2.92,5241,-1,Fallback mode
2.92,5550,-1,Fallback mode
-1,0,-1,Error on SQL Server connection
2.95,439,-1,Fallback mode
2.93,953,-1,Fallback mode
1.35,1481,-1,Fallback mode
0.71,2008,-1,Fallback mode
2.50,2537,-1,Fallback mode
2.94,3065,-1,Fallback mode
1.84,3594,-1,Fallback mode
0.35,4121,-1,Fallback mode
0.35,4648,-1,Fallback mode
1.33,5177,-1,Fallback mode
2.70,5705,-1,Fallback mode
2.94,6234,-1,Fallback mode
2.95,6762,-1,Fallback mode
1.93,7291,-1,Fallback mode
0.80,7818,-1,Fallback mode
0.40,8345,-1,Fallback mode
0.30,8873,-1,Fallback mode
0.77,9400,-1,Fallback mode
1.40,9929,-1,Fallback mode
-1,0,27,Malformed or unreadable data
2.95,48806,27,SQL INSERT FAILED
2.95,68670,27,Fallback mode
2.93,68987,27,Fallback mode
2.62,69300,27,Fallback mode
1.62,69609,27,Fallback mode
0.70,69922,27,Fallback mode
1.98,70230,27,Fallback mode
1.31,70558,27,Fallback mode
0.01,70870,27,Fallback mode
0.51,71176,27,Fallback mode
1.58,71486,27,Fallback mode
1.82,71795,27,Fallback mode
2.09,72114,27,Fallback mode
2.78,72424,27,Fallback mode
2.93,72842,27,Fallback mode
2.91,73147,27,Fallback mode
1.77,73451,27,Fallback mode
0.23,73764,27,Fallback mode
1.43,74069,27,Fallback mode
2.90,74382,27,Fallback mode
1.82,74692,27,Fallback mode
0.00,75006,27,Fallback mode
0.94,75317,27,Fallback mode
2.88,75630,27,Fallback mode
2.78,75942,27,Fallback mode
0.36,76267,27,Fallback mode
0.00,76578,27,Fallback mode
0.74,76890,27,Fallback mode
1.22,77197,27,Fallback mode
2.81,77515,27,Fallback mode
2.60,77826,27,Fallback mode
1.10,78134,27,Fallback mode
0.45,78571,27,Fallback mode
0.00,78891,27,Fallback mode
0.59,79198,27,Fallback mode
1.82,79509,27,Fallback mode
2.91,79819,27,Fallback mode
2.91,80135,27,Fallback mode
2.91,80448,27,Fallback mode
2.91,80756,27,Fallback mode
2.55,81068,27,Fallback mode
0.87,81386,27,Fallback mode
0.10,81694,27,Fallback mode
0.00,82005,27,Fallback mode
0.00,82324,27,Fallback mode
0.86,82636,27,Fallback mode
1.09,82945,27,Fallback mode
2.64,83263,27,Fallback mode
2.91,83569,27,Fallback mode
2.91,83876,27,Fallback mode
0.92,84186,27,Fallback mode
0.00,84490,27,Fallback mode
0.14,84815,27,Fallback mode
1.79,85122,27,Fallback mode
2.08,85436,27,Fallback mode
2.91,85748,27,Fallback mode
1.84,86054,27,Fallback mode
0.38,86374,27,Fallback mode
0.02,86683,27,Fallback mode
0.09,86995,27,Fallback mode
0.69,87313,27,Fallback mode
1.88,87626,27,Fallback mode
2.37,87935,27,Fallback mode
2.91,88249,27,Fallback mode
2.91,88560,27,Fallback mode
2.94,88872,27,Fallback mode
2.90,89189,27,Fallback mode
2.79,89500,27,Fallback mode
2.38,89819,27,Fallback mode
2.86,90131,27,Fallback mode
2.79,90440,27,Fallback mode
2.86,90751,27,Fallback mode
2.91,91057,27,Fallback mode
2.92,91376,27,Fallback mode
2.92,91687,27,Fallback mode
2.92,91999,27,Fallback mode
2.92,92315,27,Fallback mode
2.92,92626,27,Fallback mode
2.92,92940,27,Fallback mode
2.92,93252,27,Fallback mode
2.92,93566,27,Fallback mode
2.92,93875,27,Fallback mode
2.91,94188,27,Fallback mode
2.92,94503,27,Fallback mode
2.93,94924,27,Fallback mode
2.95,95239,27,Fallback mode
2.84,95561,27,Fallback mode
2.56,95878,27,Fallback mode
2.57,96197,27,Fallback mode
2.33,96506,27,Fallback mode
2.22,96820,27,Fallback mode
2.22,97128,27,Fallback mode
2.12,97444,27,Fallback mode
2.13,97929,27,Fallback mode
2.05,98455,27,Fallback mode
1.98,98984,27,Fallback mode
1.95,99512,27,Fallback mode
1.91,100041,27,Fallback mode
1.88,100569,27,Fallback mode
1.82,101098,27,Fallback mode
1.80,101626,27,Fallback mode
2.05,102155,27,Fallback mode
2.32,102684,27,Fallback mode
2.38,103212,27,Fallback mode
2.83,103741,27,Fallback mode
2.97,104271,27,Fallback mode
2.97,104798,27,Fallback mode
2.97,105326,27,Fallback mode
2.97,105855,27,Fallback mode
2.64,106384,27,Fallback mode
1.96,106912,27,Fallback mode
1.83,107448,27,Fallback mode
1.66,107969,27,Fallback mode
1.66,108498,27,Fallback mode
1.66,109027,27,Fallback mode
1.66,109557,27,Fallback mode
1.66,110090,27,Fallback mode
1.66,110615,27,Fallback mode
1.66,111147,27,Fallback mode
1.66,111671,27,Fallback mode
1.66,112202,27,Fallback mode
1.66,112728,27,Fallback mode
1.66,113256,27,Fallback mode
1.66,113785,27,Fallback mode
1.66,114314,27,Fallback mode
1.66,114842,27,Fallback mode
1.66,115374,27,Fallback mode
1.66,115905,27,Fallback mode
1.66,116428,27,Fallback mode
1.66,116956,27,Fallback mode
1.66,117486,27,Fallback mode
1.66,118015,27,Fallback mode
1.66,118541,27,Fallback mode
1.66,119070,27,Fallback mode
1.66,119598,27,Fallback mode
1.66,120127,27,Fallback mode
1.66,120655,27,Fallback mode
1.65,121184,27,Fallback mode
1.65,121713,27,Fallback mode
1.65,122241,27,Fallback mode
1.66,122770,27,Fallback mode
1.65,123298,27,Fallback mode
1.66,123827,27,Fallback mode
1.65,124362,27,Fallback mode
1.65,124884,27,Fallback mode
1.65,125413,27,Fallback mode
1.65,125941,27,Fallback mode
1.65,126470,27,Fallback mode
1.65,126999,27,Fallback mode
1.65,127527,27,Fallback mode
1.65,128056,27,Fallback mode
1.65,128585,27,Fallback mode
1.65,129123,27,Fallback mode
1.65,129648,27,Fallback mode
1.65,130177,27,Fallback mode
1.65,130699,27,Fallback mode
1.65,131228,27,Fallback mode
1.65,131756,27,Fallback mode
1.65,132285,27,Fallback mode
1.65,132814,27,Fallback mode
1.65,133342,27,Fallback mode
1.66,133871,27,Fallback mode
1.65,134400,27,Fallback mode
1.65,134928,27,Fallback mode
1.65,135457,27,Fallback mode
1.65,135990,27,Fallback mode
1.65,136514,27,Fallback mode
1.65,137043,27,Fallback mode
1.65,137571,27,Fallback mode
1.65,138100,27,Fallback mode
1.65,138629,27,Fallback mode
1.65,139157,27,Fallback mode
1.65,139686,27,Fallback mode
1.65,140214,27,Fallback mode
1.65,140746,27,Fallback mode
1.65,141272,27,Fallback mode
1.65,141800,27,Fallback mode
1.65,142329,27,Fallback mode
1.65,142857,27,Fallback mode
1.65,143386,27,Fallback mode
1.65,143915,27,Fallback mode
1.65,144443,27,Fallback mode
1.65,144972,27,Fallback mode
1.65,145501,27,Fallback mode
1.65,146029,27,Fallback mode
1.65,146558,27,Fallback mode
1.65,147087,27,Fallback mode
1.65,147615,27,Fallback mode
1.65,148144,27,Fallback mode
1.65,148672,27,Fallback mode
1.65,149201,27,Fallback mode
1.65,149731,27,Fallback mode
1.65,150258,27,Fallback mode
1.65,150787,27,Fallback mode
1.65,151316,27,Fallback mode
1.65,151844,27,Fallback mode
1.65,152373,27,Fallback mode
1.65,152902,27,Fallback mode
1.65,153430,27,Fallback mode
1.65,153959,27,Fallback mode
1.65,154488,27,Fallback mode
1.65,155016,27,Fallback mode
1.65,155545,27,Fallback mode
1.65,156074,27,Fallback mode
1.65,156602,27,Fallback mode
1.65,157131,27,Fallback mode
1.65,157659,27,Fallback mode
1.65,158188,27,Fallback mode
1.65,158717,27,Fallback mode
1.65,159245,27,Fallback mode
1.65,159774,27,Fallback mode
1.65,160303,27,Fallback mode
1.65,160831,27,Fallback mode
1.65,161360,27,Fallback mode
1.65,161889,27,Fallback mode
1.65,162420,27,Fallback mode
1.65,162946,27,Fallback mode
1.65,163474,27,Fallback mode
1.65,164003,27,Fallback mode
1.65,164532,27,Fallback mode
1.65,165062,27,Fallback mode
1.65,165590,27,Fallback mode
1.65,166118,27,Fallback mode
1.65,166646,27,Fallback mode
1.65,167175,27,Fallback mode
1.65,167704,27,Fallback mode
1.65,168233,27,Fallback mode
1.65,168761,27,Fallback mode
1.65,169290,27,Fallback mode
1.65,169819,27,Fallback mode
1.65,170347,27,Fallback mode
1.65,170876,27,Fallback mode
1.65,171404,27,Fallback mode
1.65,171933,27,Fallback mode
1.65,172462,27,Fallback mode
1.65,172990,27,Fallback mode
1.65,173519,27,Fallback mode
1.65,174048,27,Fallback mode
1.66,174576,27,Fallback mode
1.65,175105,27,Fallback mode
1.65,175633,27,Fallback mode
1.65,176162,27,Fallback mode
1.65,176691,27,Fallback mode
1.65,177219,27,Fallback mode
1.65,177748,27,Fallback mode
1.65,178277,27,Fallback mode
1.65,178807,27,Fallback mode
1.65,179334,27,Fallback mode
1.65,179863,27,Fallback mode
1.65,180391,27,Fallback mode
1.65,180920,27,Fallback mode
1.65,181449,27,Fallback mode
1.65,181977,27,Fallback mode
1.65,185608,27,Fallback mode
1.65,185922,27,Fallback mode
1.65,186234,27,Fallback mode
1.65,186550,27,Fallback mode
1.65,186864,27,Fallback mode
1.65,187174,27,Fallback mode
1.65,187486,27,Fallback mode
1.65,187798,27,Fallback mode
1.65,188107,27,Fallback mode
1.65,188418,27,Fallback mode
1.65,188722,27,Fallback mode
1.65,189034,27,Fallback mode
1.65,189357,27,Fallback mode
1.65,189685,27,Fallback mode
1.65,190004,27,Fallback mode
1.65,190435,27,Fallback mode
1.65,190985,27,Fallback mode
1.65,191494,27,Fallback mode
1.65,192022,27,Fallback mode
1.65,192555,27,Fallback mode
1.65,193082,27,Fallback mode
1.65,193608,27,Fallback mode
1.65,194137,27,Fallback mode
1.65,194667,27,Fallback mode
1.65,195194,27,Fallback mode
1.65,195726,27,Fallback mode
1.65,196251,27,Fallback mode
1.65,196781,27,Fallback mode
1.65,197309,27,Fallback mode
1.65,197837,27,Fallback mode
1.65,198368,27,Fallback mode
1.65,198895,27,Fallback mode
1.65,199426,27,Fallback mode
1.65,199958,27,Fallback mode
1.65,200481,27,Fallback mode
1.65,201011,27,Fallback mode
1.65,201542,27,Fallback mode
1.65,202066,27,Fallback mode
1.65,202596,27,Fallback mode
1.65,203124,27,Fallback mode
1.65,203664,27,Fallback mode
1.65,204182,27,Fallback mode
1.65,204715,27,Fallback mode
1.65,205239,27,Fallback mode
1.65,205770,27,Fallback mode
1.65,206295,27,Fallback mode
1.65,206826,27,Fallback mode
1.65,207357,27,Fallback mode
1.65,207887,27,Fallback mode
1.65,208412,27,Fallback mode
1.65,208939,27,Fallback mode
1.65,209467,27,Fallback mode
1.65,209997,27,Fallback mode
1.65,210525,27,Fallback mode
1.65,211053,27,Fallback mode
1.65,211582,27,Fallback mode
1.65,212111,27,Fallback mode
1.65,212639,27,Fallback mode
1.65,213168,27,Fallback mode
1.65,213697,27,Fallback mode
1.65,214225,27,Fallback mode
1.65,214754,27,Fallback mode
1.65,215283,27,Fallback mode
1.65,215812,27,Fallback mode
1.65,216342,27,Fallback mode
1.65,216869,27,Fallback mode
1.65,217398,27,Fallback mode
1.65,217965,27,Fallback mode
1.65,218455,27,Fallback mode
1.65,218984,27,Fallback mode
1.65,219512,27,Fallback mode
1.65,220041,27,Fallback mode
1.65,220570,27,Fallback mode
1.65,221106,27,Fallback mode
1.65,221627,27,Fallback mode
1.65,222156,27,Fallback mode
1.65,222684,27,Fallback mode
1.65,223213,27,Fallback mode
1.65,223742,27,Fallback mode
1.65,224273,27,Fallback mode
1.65,224799,27,Fallback mode
1.65,225328,27,Fallback mode
1.65,225856,27,Fallback mode
1.65,226385,27,Fallback mode
1.65,226914,27,Fallback mode
1.65,227442,27,Fallback mode
1.65,227971,27,Fallback mode
1.65,228499,27,Fallback mode
1.65,229028,27,Fallback mode
1.65,229557,27,Fallback mode
1.65,230085,27,Fallback mode
1.65,230616,27,Fallback mode
1.65,231143,27,Fallback mode
1.65,231671,27,Fallback mode
1.65,232203,27,Fallback mode
1.65,232730,27,Fallback mode
1.65,233257,27,Fallback mode
1.65,233786,27,Fallback mode
1.65,242339,27,Fallback mode
1.65,242649,27,Fallback mode
1.65,242959,27,Fallback mode
1.65,243271,27,Fallback mode
1.65,243583,27,Fallback mode
1.65,243893,27,Fallback mode
1.65,244208,27,Fallback mode
1.65,244518,27,Fallback mode
1.65,244831,27,Fallback mode
1.65,245145,27,Fallback mode
1.65,245454,27,Fallback mode
1.65,245768,27,Fallback mode
1.65,246079,27,Fallback mode
1.65,246392,27,Fallback mode
1.65,246707,27,Fallback mode
1.65,247018,27,Fallback mode
1.65,247331,27,Fallback mode
1.65,247643,27,Fallback mode
1.65,247960,27,Fallback mode
1.65,248283,27,Fallback mode
1.65,248593,27,Fallback mode
1.65,248904,27,Fallback mode
1.65,249215,27,Fallback mode
1.65,249527,27,Fallback mode
1.65,249840,27,Fallback mode
1.65,250150,27,Fallback mode
1.65,250462,27,Fallback mode
1.65,250776,27,Fallback mode
1.65,251087,27,Fallback mode
1.65,251397,27,Fallback mode
1.65,251710,27,Fallback mode
1.65,252023,27,Fallback mode
1.65,252331,27,Fallback mode
1.65,252640,27,Fallback mode
1.65,252954,27,Fallback mode
1.65,253268,27,Fallback mode
1.65,253579,27,Fallback mode
1.65,253892,27,Fallback mode
1.65,254403,27,Fallback mode
1.65,254937,27,Fallback mode
1.65,255460,27,Fallback mode
1.65,255989,27,Fallback mode
1.65,256520,27,Fallback mode
1.65,257062,27,Fallback mode
1.65,257575,27,Fallback mode
1.65,258104,27,Fallback mode
1.65,258632,27,Fallback mode
1.65,259161,27,Fallback mode
1.65,259689,27,Fallback mode
1.65,260218,27,Fallback mode
1.65,260747,27,Fallback mode
1.65,261277,27,Fallback mode
1.65,261804,27,Fallback mode
1.65,262335,27,Fallback mode
1.65,262865,27,Fallback mode
1.65,263390,27,Fallback mode
1.65,263922,27,Fallback mode
1.65,264448,27,Fallback mode
1.65,264976,27,Fallback mode
1.65,265505,27,Fallback mode
1.65,266033,27,Fallback mode
1.65,266569,27,Fallback mode
1.65,267091,27,Fallback mode
1.65,267623,27,Fallback mode
1.65,268157,27,Fallback mode
1.65,268676,27,Fallback mode
1.65,269205,27,Fallback mode
1.65,269734,27,Fallback mode
1.65,270262,27,Fallback mode
1.65,270793,27,Fallback mode
1.65,271320,27,Fallback mode
1.65,271848,27,Fallback mode
1.65,272377,27,Fallback mode
1.65,272905,27,Fallback mode
1.65,273434,27,Fallback mode
1.65,273967,27,Fallback mode
1.65,274491,27,Fallback mode
1.65,275020,27,Fallback mode
1.65,275548,27,Fallback mode
1.65,276077,27,Fallback mode
1.65,276606,27,Fallback mode
1.65,277134,27,Fallback mode
1.65,277669,27,Fallback mode
1.65,278191,27,Fallback mode
1.65,278720,27,Fallback mode
1.65,279249,27,Fallback mode
1.65,279777,27,Fallback mode
1.65,280308,27,Fallback mode
1.65,280835,27,Fallback mode
1.65,281363,27,Fallback mode
1.65,281892,27,Fallback mode
1.65,282421,27,Fallback mode
1.65,282949,27,Fallback mode
1.65,283478,27,Fallback mode
1.65,284007,27,Fallback mode
1.65,284535,27,Fallback mode
1.65,285064,27,Fallback mode
